season,division,date,home,away,home_goals,away_goals,favorite_side,favorite_fair_probability,one_x_two_source,favorite_ah_line,favorite_ah_price,ah_source,ou_line,over_price,under_price,ou_source
1920,F1,2019-08-09,Monaco,Lyon,0,3,A,0.39130729131406133,Bet365,-0.0,1.72,Bet365,2.5,1.9,1.9,Bet365
1920,E0,2019-08-10,Bournemouth,Sheffield United,1,1,H,0.4775071962138203,Bet365,-0.5,2.01,Bet365,2.5,1.9,1.93,Bet365
1920,E0,2019-08-10,Burnley,Southampton,3,0,H,0.35761197845922754,Bet365,0.0,1.92,Bet365,2.5,2.12,1.73,Bet365
1920,E0,2019-08-10,Watford,Brighton,0,3,H,0.49399450459763866,Bet365,-0.5,1.95,Bet365,2.5,2.16,1.71,Bet365
1920,E0,2019-08-10,Tottenham,Aston Villa,3,1,H,0.7359580511141248,Bet365,-1.5,1.97,Bet365,2.5,1.65,2.26,Bet365
1920,F1,2019-08-11,Lille,Nantes,2,1,H,0.48745632219987794,Bet365,-0.5,1.98,Bet365,2.5,2.35,1.58,Bet365
1920,F1,2019-08-11,Strasbourg,Metz,1,1,H,0.46289525419369065,Bet365,-0.5,2.07,Bet365,2.5,2.29,1.61,Bet365
1920,F1,2019-08-11,Paris SG,Nimes,3,0,H,0.8622478290191247,Bet365,-2.5,1.95,Bet365,2.5,1.31,3.4,Bet365
1920,D1,2019-08-16,Bayern Munich,Hertha,2,2,H,0.8098813050877195,Bet365,-2.0,1.8,Bet365,2.5,1.34,3.24,Bet365
1920,F1,2019-08-16,Lyon,Angers,6,0,H,0.6363534800580941,Bet365,-1.0,1.86,Bet365,2.5,1.6,2.34,Bet365
1920,E0,2019-08-17,Arsenal,Burnley,2,1,H,0.7232990481590654,Bet365,-1.5,2.02,Bet365,2.5,1.6,2.34,Bet365
1920,D1,2019-08-17,Dortmund,Augsburg,5,1,H,0.7840241609692713,Bet365,-2.0,2.02,Bet365,2.5,1.43,2.79,Bet365
1920,D1,2019-08-17,Wolfsburg,FC Koln,2,1,H,0.5002035238704425,Bet365,-0.5,1.92,Bet365,2.5,1.67,2.21,Bet365
1920,F1,2019-08-17,Nantes,Marseille,0,0,H,0.3686922702965484,Bet365,0.0,1.84,Bet365,2.5,2.11,1.73,Bet365
1920,E0,2019-08-17,Man City,Tottenham,2,2,H,0.7060174436845078,Bet365,-1.5,2.03,Bet365,2.5,1.52,2.55,Bet365
1920,D1,2019-08-17,MGladbach,Schalke 04,0,0,H,0.4624320007066774,Bet365,-0.5,2.08,Bet365,2.5,1.78,2.04,Bet365
1920,SP1,2019-08-17,Mallorca,Eibar,2,1,A,0.3638692289949376,Bet365,-0.0,1.88,Bet365,2.5,2.34,1.6,Bet365
1920,F1,2019-08-17,Bordeaux,Montpellier,1,1,H,0.35247573211518063,Bet365,0.0,1.88,Bet365,2.5,2.52,1.52,Bet365
1920,F1,2019-08-17,Metz,Monaco,3,0,A,0.3733732115431251,Bet365,-0.0,1.82,Bet365,2.5,2.4,1.56,Bet365
1920,F1,2019-08-17,Toulouse,Dijon,1,0,H,0.47582993593476997,Bet365,-0.5,2.05,Bet365,2.5,2.09,1.75,Bet365
1920,SP1,2019-08-17,Leganes,Osasuna,0,1,H,0.46291226697953336,Bet365,-0.5,2.08,Bet365,2.5,2.59,1.49,Bet365
1920,SP1,2019-08-17,Villarreal,Granada,4,4,H,0.5934080165770899,Bet365,-1.0,2.05,Bet365,2.5,1.84,1.98,Bet365
1920,F1,2019-08-18,St Etienne,Brest,1,1,H,0.583140641724338,Bet365,-1.0,2.05,Bet365,2.5,1.81,2.0,Bet365
1920,F1,2019-08-18,Reims,Strasbourg,0,0,H,0.4665179218220278,Bet365,-0.5,2.08,Bet365,2.5,2.42,1.56,Bet365
